id,entity_type,faculty_type,title,research_interests,label,parent,joint_degree,joint_pagerank,joint_community,joint_community_color
Katerina Fragkiadaki,faculty,core,"Assistant Professor/Director of ML Master's Programs, Machine Learning, School of Computer Science","Active Vision, Computer Vision",Katerina Fragkiadaki,core,3,0.011497123623725996,1,"rgb(55,126,184)"
Alexandra Chouldechova,faculty,unknown,,,Alexandra Chouldechova,unknown,3,0.010003337280267819,1,"rgb(55,126,184)"
Edward Kennedy,faculty,unknown,,,Edward Kennedy,unknown,2,0.006446262626639353,1,"rgb(55,126,184)"
Zachary Lipton,faculty,core,Assistant Professor of Business Technologies and Machine Learning,"Machine Learning for Healthcare, Robustness under distribution shift, Ethics of Technology, Deep Learning",Zachary Lipton,core,4,0.017199832358271203,1,"rgb(55,126,184)"
Ameet Talwalkar,faculty,core,"Assistant Professor, Machine Learning, School of Computer Science","Explainable ML, Auto ML, Meta Learning, Fairness, Parallel and Distributed Machine Learning, Systems and Machine Learning",Ameet Talwalkar,core,7,0.013688203686653752,1,"rgb(55,126,184)"
Maria-Florina Balcan,faculty,core,"Professor, Computer Science & Machine Learning, School of Computer Science","Foundations of Machine Learning, Data Driven Algorithm Design, Computational and Data-driven approaches in game theory and economics, Interactive Learning, Lifelong Learning",Maria-Florina Balcan,core,6,0.011777594466539351,1,"rgb(55,126,184)"
Zico Kolter,faculty,affiliated,"Assistant Professor, Computer Science, School of Computer Science",,Zico Kolter,affiliated,2,0.007693854635293694,1,"rgb(55,126,184)"
Andrej Risteski,faculty,core,"Assistant Professor, Machine Learning, School of Computer Science","Machine Learning Theory, Theory of Unsupervised Learning, Theory of Deep Learning",Andrej Risteski,core,2,0.007526367968435247,1,"rgb(55,126,184)"
Pradeep Ravikumar,faculty,core,"Associate Professor, Machine Learning, School of Computer Science","Explainable, Robust, Graceful AI, Statisical Machine Learning, Learning Theory",Pradeep Ravikumar,core,8,0.015139357419556214,1,"rgb(55,126,184)"
Artur Dubrawski,faculty,affiliated,"Research Professor, Robotics Institute, School of Computer Science",,Artur Dubrawski,affiliated,5,0.009724000903869132,1,"rgb(55,126,184)"
